36
e_L                 onsite              nnhop               nnpair              nnnnpair            
(-1.42,0)           (0.0616159,0)       (0.024341,0)        (-0.141676,0)       (-0.141676,0)       
(-1.46,0)           (-0.0344063,0)      (0.122234,0)        (-0.539543,0)       (-0.539543,0)       
(-1.44,0)           (-0.159847,0)       (0.0914428,0)       (-0.336577,0)       (-0.336577,0)       
(-1.46,0)           (-0.0344063,0)      (0.122234,0)        (-0.539543,0)       (-0.539543,0)       
(-1.38,0)           (-0.0158135,0)      (-0.0553964,0)      (0.260224,0)        (0.260224,0)        
(-1.32,0)           (-0.0452318,0)      (-0.18408,0)        (0.861058,0)        (0.861058,0)        
(-1.4,0)            (-0.0638246,0)      (-0.00645,0)        (0.0612905,0)       (0.0612905,0)       
(-1.38,0)           (-0.0158135,0)      (-0.0553964,0)      (0.260224,0)        (0.260224,0)        
(-1.42,0)           (-0.111836,0)       (0.0424964,0)       (-0.137643,0)       (-0.137643,0)       
(-1.34,0)           (-0.00651714,0)     (-0.144211,0)       (0.660108,0)        (0.660108,0)        
(-1.38,0)           (0.0709123,0)       (-0.0644741,0)      (0.258208,0)        (0.258208,0)        
(-1.5,0)            (-0.0437026,0)      (0.211049,0)        (-0.939427,0)       (-0.939427,0)       
(-1.36,0)           (0.0321976,0)       (-0.104343,0)       (0.459158,0)        (0.459158,0)        
(-1.44,0)           (0.0136048,0)       (0.0732874,0)       (-0.34061,0)        (-0.34061,0)        
(-1.4,0)            (0.0229012,0)       (-0.0155277,0)      (0.0592743,0)       (0.0592743,0)       
(-1.38,0)           (-0.102539,0)       (-0.0463187,0)      (0.262241,0)        (0.262241,0)        
(-1.38,0)           (-0.0158135,0)      (-0.0553964,0)      (0.260224,0)        (0.260224,0)        
(-1.48,0)           (-0.0824173,0)      (0.17118,0)         (-0.738477,0)       (-0.738477,0)       
(-1.42,0)           (-0.111836,0)       (0.0424964,0)       (-0.137643,0)       (-0.137643,0)       
(-1.34,0)           (0.0802086,0)       (-0.153289,0)       (0.658092,0)        (0.658092,0)        
(-1.4,0)            (0.109627,0)        (-0.0246054,0)      (0.0572582,0)       (0.0572582,0)       
(-1.4,0)            (0.0229012,0)       (-0.0155277,0)      (0.0592743,0)       (0.0592743,0)       
(-1.36,0)           (0.118923,0)        (-0.11342,0)        (0.457142,0)        (0.457142,0)        
(-1.4,0)            (0.0229012,0)       (-0.0155277,0)      (0.0592743,0)       (0.0592743,0)       
(-1.38,0)           (0.157638,0)        (-0.0735518,0)      (0.256192,0)        (0.256192,0)        
(-1.28,0)           (0.224242,0)        (-0.300128,0)       (1.25489,0)         (1.25489,0)         
(-1.42,0)           (-0.0251099,0)      (0.0334187,0)       (-0.13966,0)        (-0.13966,0)        
(-1.44,0)           (0.100331,0)        (0.0642097,0)       (-0.342626,0)       (-0.342626,0)       
(-1.42,0)           (-0.0251099,0)      (0.0334187,0)       (-0.13966,0)        (-0.13966,0)        
(-1.42,0)           (-0.111836,0)       (0.0424964,0)       (-0.137643,0)       (-0.137643,0)       
(-1.36,0)           (0.118923,0)        (-0.11342,0)        (0.457142,0)        (0.457142,0)        
(-1.38,0)           (0.244364,0)        (-0.0826294,0)      (0.254176,0)        (0.254176,0)        
(-1.44,0)           (0.0136048,0)       (0.0732874,0)       (-0.34061,0)        (-0.34061,0)        
(-1.42,0)           (-0.111836,0)       (0.0424964,0)       (-0.137643,0)       (-0.137643,0)       
(-1.46,0)           (0.0523195,0)       (0.113156,0)        (-0.54156,0)        (-0.54156,0)        
(-1.44,0)           (-0.073121,0)       (0.0823651,0)       (-0.338593,0)       (-0.338593,0)       
(-1.46,0)           (0.0523195,0)       (0.113156,0)        (-0.54156,0)        (-0.54156,0)        
(-1.4,0)            (-0.0638246,0)      (-0.00645,0)        (0.0612905,0)       (0.0612905,0)       
(-1.44,0)           (0.100331,0)        (0.0642097,0)       (-0.342626,0)       (-0.342626,0)       
(-1.46,0)           (-0.121132,0)       (0.131312,0)        (-0.537527,0)       (-0.537527,0)       
(-1.4,0)            (0.0229012,0)       (-0.0155277,0)      (0.0592743,0)       (0.0592743,0)       
(-1.42,0)           (-0.0251099,0)      (0.0334187,0)       (-0.13966,0)        (-0.13966,0)        
(-1.44,0)           (0.0136048,0)       (0.0732874,0)       (-0.34061,0)        (-0.34061,0)        
(-1.48,0)           (0.00430845,0)      (0.162103,0)        (-0.740493,0)       (-0.740493,0)       
(-1.4,0)            (0.0229012,0)       (-0.0155277,0)      (0.0592743,0)       (0.0592743,0)       
(-1.42,0)           (-0.0251099,0)      (0.0334187,0)       (-0.13966,0)        (-0.13966,0)        
(-1.48,0)           (-0.0824173,0)      (0.17118,0)         (-0.738477,0)       (-0.738477,0)       
(-1.4,0)            (0.196353,0)        (-0.033683,0)       (0.055242,0)        (0.055242,0)        
(-1.3,0)            (0.00277923,0)      (-0.233027,0)       (1.05999,0)         (1.05999,0)         
(-1.36,0)           (0.118923,0)        (-0.11342,0)        (0.457142,0)        (0.457142,0)        
(-1.46,0)           (0.0523195,0)       (0.113156,0)        (-0.54156,0)        (-0.54156,0)        
(-1.36,0)           (-0.0545282,0)      (-0.0952651,0)      (0.461174,0)        (0.461174,0)        
(-1.38,0)           (0.157638,0)        (-0.0735518,0)      (0.256192,0)        (0.256192,0)        
(-1.38,0)           (0.0709123,0)       (-0.0644741,0)      (0.258208,0)        (0.258208,0)        
